,INSKUDD,UTLAN,PURRING_ANTALL_12MND,ALDER,KJONN,HAR_MOBIL,LONNSOMHET_PER_MND_TYPE
519,190.53660414718664,422.60150706781803,0,56,0,0,Good
520,190.53660414718664,422.60150706781803,0,57,0,0,Good
521,5.0,0.0,0,55,0,1,Good
522,5.0,0.0,0,56,0,1,Good
523,0.0,0.0,3,55,0,1,Good
524,0.0,0.0,3,56,0,1,Bad
525,0.0,0.0,0,55,0,1,Good
526,0.0,0.0,0,56,0,1,Good
527,1.0,685.0,2,54,1,1,Good
528,2.0,678.0,3,55,1,1,Good
529,190.53660414718664,422.60150706781803,0,54,0,0,Good
530,190.53660414718664,422.60150706781803,0,55,0,0,Good
531,34.0,1866.0,0,53,1,1,Good
532,139.0,1859.0,0,54,1,1,Good
533,34.0,0.0,0,53,1,1,Good
534,23.0,0.0,0,54,1,1,Good
535,17.0,0.0,0,53,0,0,Good
536,17.0,0.0,0,54,0,0,Good
537,190.53660414718664,422.60150706781803,0,52,1,1,Good
538,190.53660414718664,422.60150706781803,0,53,1,1,Good
539,34.0,0.0,0,50,1,1,Good
540,25.0,0.0,0,51,1,1,Good
541,0.0,0.0,0,49,1,1,Good
542,10.0,0.0,0,50,1,1,Good
543,41.0,1223.0,0,48,0,1,Good
544,29.0,1221.0,0,49,0,1,Good
545,4.0,4539.0,0,48,1,1,Good
546,40.0,4559.0,0,49,1,1,Good
547,0.0,0.0,0,47,0,1,Bad
548,0.0,0.0,0,48,0,1,Bad
549,3.0,0.0,0,45,1,1,Good
550,4.0,0.0,0,46,1,1,Good
551,190.53660414718664,422.60150706781803,0,45,1,0,Good
552,190.53660414718664,422.60150706781803,0,46,1,0,Good
553,2257.0,2539.0,0,44,1,1,Good
554,2260.0,2533.0,0,45,1,1,Good
555,1.0,0.0,0,43,1,1,Good
556,1.0,0.0,0,44,1,1,Good
557,50.0,561.0,0,38,1,1,Good
558,43.0,560.0,0,39,1,1,Good
559,48.0,0.0,0,36,0,1,Good
560,23.0,0.0,0,37,0,1,Good
561,10.0,2486.0,0,33,1,1,Good
562,5.0,2482.0,0,34,1,1,Good
563,168.0,0.0,0,32,0,1,Good
564,156.0,0.0,0,33,0,1,Good
565,170.0,132.0,0,32,1,1,Good
566,171.0,131.0,0,33,1,1,Good
567,190.53660414718664,422.60150706781803,0,29,1,1,Good
568,190.53660414718664,422.60150706781803,0,30,1,1,Good
569,0.0,0.0,0,28,0,1,Bad
570,0.0,0.0,0,29,0,1,Bad
571,190.53660414718664,422.60150706781803,0,28,0,0,Good
572,190.53660414718664,422.60150706781803,0,29,0,0,Good
573,79.0,2579.0,1,28,1,1,Good
574,52.0,2574.0,1,29,1,1,Good
575,27.0,533.0,0,27,1,1,Good
576,24.0,530.0,0,28,1,1,Good
577,6.0,0.0,0,25,1,1,Good
578,2.0,0.0,0,26,1,1,Good
579,0.0,0.0,0,25,0,1,Good
580,7.0,0.0,0,26,0,1,Good
581,9.0,0.0,0,21,1,0,Good
582,9.0,0.0,0,22,1,0,Good
583,261.0,0.0,0,19,1,1,Good
584,276.0,0.0,0,20,1,1,Good
585,2.0,0.0,0,19,1,1,Good
586,1.0,0.0,0,20,1,1,Good
587,0.0,0.0,0,18,1,1,Good
588,0.0,0.0,0,18,1,1,Good
589,25.0,0.0,0,18,1,1,Good
590,10.0,0.0,0,18,1,1,Good
591,12.0,0.0,0,17,0,1,Good
592,5.0,0.0,0,17,0,1,Good
593,69.0,0.0,0,15,1,1,Good
594,69.0,0.0,0,15,1,1,Good
595,13.0,0.0,0,10,0,0,Good
596,13.0,0.0,0,10,0,0,Good
597,24.0,0.0,0,10,1,0,Good
598,24.0,0.0,0,10,1,0,Good
599,5.0,0.0,0,9,0,1,Good
600,5.0,0.0,0,9,0,1,Good
601,27.0,0.0,0,7,1,0,Good
602,27.0,0.0,0,7,1,0,Good
603,31.0,0.0,0,5,0,0,Good
604,31.0,0.0,0,5,0,0,Good
605,0.0,0.0,0,3,1,0,Good
606,0.0,0.0,0,3,1,0,Good
607,384.0,0.0,0,91,0,0,Good
608,383.0,0.0,0,91,0,0,Good
609,99.0,0.0,0,83,0,1,Good
610,107.0,0.0,0,83,0,1,Good
611,190.53660414718664,422.60150706781803,0,82,0,0,Good
612,52.0,0.0,0,75,1,1,Good
613,50.0,0.0,0,75,1,1,Good
614,668.0,199.0,0,73,0,1,Good
615,651.0,199.0,0,73,0,1,Good
616,1519.0,500.0,0,72,0,1,Good
617,1515.0,500.0,0,72,0,1,Good
618,9.0,0.0,0,72,1,0,Good
619,1.0,0.0,0,72,1,0,Good
620,13.0,0.0,0,71,0,1,Good
621,14.0,0.0,0,71,0,1,Good
