TID_ID	BK_SB1_SELSKAP_ID	KUNDE_ID	ALDER	KJONN	DOD	KONKURS	SAMTYKKE_1_SVAR	SAMTYKKE_2_SVAR	HAR_EPOST	HAR_MOBIL	RESERVERT_MOT_MARKEDSFORING	RESERVERT_TELEFON_BRREG_FLG
20190329	2096	19325	49	M	0	0	J	J	0	1	N	0
20190329	2096	19328	48	K	0	0	J	J	0	0	N	1
20190430	2096	19328	48	K	0	0	J	J	0	0	N	1
20190430	2096	19334	38	K	0	0	J	J	1	1	N	0
20190329	2096	19334	38	K	0	0	J	J	1	1	N	0
20190329	2096	19342	30	M	0	0	J	J	1	1	N	1
20190430	2096	19342	30	M	0	0	J	J	1	1	N	1
20190329	2096	19345	27	K	0	0	J	J	1	1	N	0
20190430	2096	19345	27	K	0	0	J	J	1	1	N	0
20190430	2096	19348	24	K	0	0	J	J	1	1	N	0
20190329	2096	19348	24	K	0	0	J	J	1	1	N	0
20190329	2096	19351	21	M	0	0	J	J	1	1	N	0
20190430	2096	19351	21	M	0	0	J	J	1	1	N	0
20190430	2096	19352	20	M	0	0	J	J	1	1	N	0
20190329	2096	19352	20	M	0	0	J	J	1	1	N	0
20190329	2096	19367	63	K	0	0	J	J	1	1	N	1
20190430	2096	19367	63	K	0	0	J	J	1	1	N	1
20190430	2096	19370	56	K	0	0	J	J	0	0	N	1
20190329	2096	19370	56	K	0	0	J	J	0	0	N	1
20190329	2096	19373	55	K	0	0	J	J	1	1	N	1
20190430	2096	19373	55	K	0	0	J	J	1	1	N	1
20190430	2096	19375	50	M	0	0	J	J	1	1	N	1
20190329	2096	19375	50	M	0	0	J	J	1	1	N	1
20190430	2096	18474	69	K	0	0	J	J	1	1	N	1
20190329	2096	18474	69	K	0	0	J	J	1	1	N	1
20190329	2096	18480	58	K	0	0	J	J	0	0	N	1
20190430	2096	18480	58	K	0	0	J	J	0	0	N	1
20190430	2096	18487	50	K	0	0	J	J	1	1	N	0
20190329	2096	18487	50	K	0	0	J	J	1	1	N	0
20190329	2096	18501	36	K	0	0	J	J	1	1	N	1
20190430	2096	18501	36	K	0	0	J	J	1	1	N	1
20190430	2096	18502	35	M	0	0	J	J	1	1	N	0
20190329	2096	18502	35	M	0	0	J	J	1	1	N	0
20190329	2096	18520	91	K	0	0	J	J	1	1	N	0
20190430	2096	18520	91	K	0	0	J	J	1	1	N	0
20190430	2096	18545	48	K	0	0	J	J	1	1	N	1
20190329	2096	18545	48	K	0	0	J	J	1	1	N	1
20190329	2096	18550	42	M	0	0	J	J	1	1	N	0
20190430	2096	18550	42	M	0	0	J	J	1	1	N	0
20190430	2096	18552	38	K	0	0	J	J	1	1	N	1
20190329	2096	18552	38	K	0	0	J	J	1	1	N	1
20190329	2096	18553	35	M	0	0	J	J	0	1	N	0
20190430	2096	18553	35	M	0	0	J	J	0	1	N	0
20190430	2096	18567	22	K	0	0	J	J	1	1	N	0
20190329	2096	18567	22	K	0	0	J	J	1	1	N	0
20190329	2096	18574	4	M	0	0	J	J	0	0	N	0
20190430	2096	18574	4	M	0	0	J	J	0	0	N	0
20190430	2096	18584	72	M	1	0	J	J	0	0	J	1
20190329	2096	18584	72	M	1	0	J	J	0	0	J	1
20190329	2096	18585	71	M	0	0	J	J	0	0	N	0
20190430	2096	18585	71	M	0	0	J	J	0	0	N	0
20190430	2096	18593	62	M	0	0	J	J	1	1	N	1
20190329	2096	18593	62	M	0	0	J	J	1	1	N	1
20190329	2096	18595	58	K	0	0	J	J	1	1	N	0
20190430	2096	18595	58	K	0	0	J	J	1	1	N	0
20190430	2096	18597	57	M	0	0	J	J	1	1	N	1
20190329	2096	18597	57	M	0	0	J	J	1	1	N	1
20190329	2096	18604	52	K	0	0	J	J	1	1	N	1
20190430	2096	18604	52	K	0	0	J	J	1	1	N	1
20190430	2096	18620	35	M	0	0	J	J	1	1	N	1
20190329	2096	18620	35	M	0	0	J	J	1	1	N	1
20190329	2096	18630	21	K	0	0	N	J	1	0	N	0
20190430	2096	18630	21	K	0	0	N	J	1	0	N	0
20190430	2096	18645	84	K	0	0	J	J	1	1	N	0
20190329	2096	18645	84	K	0	0	J	J	1	1	N	0
20190329	2096	18655	65	M	0	0	J	J	1	1	N	1
20190430	2096	18655	65	M	0	0	J	J	1	1	N	1
20190430	2096	18674	47	K	0	0	J	J	1	1	N	1
20190329	2096	18674	47	K	0	0	J	J	1	1	N	1
20190329	2096	18677	42	M	0	0	J	J	1	1	N	0
20190430	2096	18677	42	M	0	0	J	J	1	1	N	0
20190430	2096	18680	36	M	0	0	J	J	1	1	N	1
20190329	2096	18680	36	M	0	0	J	J	1	1	N	1
20190329	2096	18682	34	K	0	0	J	J	1	1	N	0
20190430	2096	18682	34	K	0	0	J	J	1	1	N	0
20190430	2096	18685	32	K	0	0	J	J	1	1	N	1
20190329	2096	18685	32	K	0	0	J	J	1	1	N	1
20190329	2096	18709	69	K	0	0	J	J	1	1	N	1
20190430	2096	18709	69	K	0	0	J	J	1	1	N	1
20190430	2096	18716	60	K	0	0	J	J	1	1	N	1
20190329	2096	18716	60	K	0	0	J	J	1	1	N	1
20190329	2096	18718	58	K	0	0	J	J	1	1	N	1
20190430	2096	18718	58	K	0	0	J	J	1	1	N	1
20190430	2096	18719	55	M	0	0	J	J	1	1	N	0
20190329	2096	18719	55	M	0	0	J	J	1	1	N	0
20190329	2096	18726	51	K	0	0	J	J	1	1	N	0
20190430	2096	18726	51	K	0	0	J	J	1	1	N	0
20190430	2096	18728	50	M	0	0	J	J	1	1	N	1
20190329	2096	18728	50	M	0	0	J	J	1	1	N	1
20190329	2096	18736	33	M	0	0	J	J	1	1	N	0
20190430	2096	18736	33	M	0	0	J	J	1	1	N	0
20190430	2096	18737	32	K	0	0	J	J	1	1	N	1
20190329	2096	18737	32	K	0	0	J	J	1	1	N	1
20190329	2096	18752	81	K	0	0	J	J	1	1	N	0
20190430	2096	18752	81	K	0	0	J	J	1	1	N	0
20190329	2096	19336	36	K	0	0	J	J	1	1	N	1
20190430	2096	19336	36	K	0	0	J	J	1	1	N	1
20190430	2096	19358	92	K	0	0	J	J	0	0	N	0
20190329	2096	19358	92	K	0	0	J	J	0	0	N	0
20190329	2096	19359	86	M	0	0	J	J	0	1	N	0
20190430	2096	19359	86	M	0	0	J	J	0	1	N	0
20190430	2096	19382	45	K	0	0	J	J	1	1	N	1
20190329	2096	19382	45	K	0	0	J	J	1	1	N	1
20190329	2096	19383	43	M	0	0	J	J	1	1	N	0
20190430	2096	19383	43	M	0	0	J	J	1	1	N	0
20190430	2096	19387	30	K	0	0	J	J	1	1	N	0
20190329	2096	19387	30	K	0	0	J	J	1	1	N	0
20190329	2096	19397	24	M	0	0	J	J	1	1	N	0
20190430	2096	19397	24	M	0	0	J	J	1	1	N	0
20190430	2096	19416	64	K	0	0	J	J	1	1	N	1
20190329	2096	19416	64	K	0	0	J	J	1	1	N	1
20190329	2096	19430	41	K	0	0	J	J	1	1	N	1
20190430	2096	19430	41	K	0	0	J	J	1	1	N	1
20190430	2096	19432	36	M	0	0	J	J	1	1	N	0
20190329	2096	19432	36	M	0	0	J	J	1	1	N	0
20190329	2096	19438	31	M	0	0	J	J	1	1	N	0
20190430	2096	19438	31	M	0	0	J	J	1	1	N	0
20190430	2096	19441	25	M	0	0	J	J	1	1	N	0
20190329	2096	19441	25	M	0	0	J	J	1	1	N	0
