TID_ID	BK_SB1_SELSKAP_ID	KUNDE_ID	INSKUDD	UTLAN	LANGTIDSOVERVAKET_FLG	PURRING_ANTALL_12MND	LO_MEDLEM_FLG	FAM_VOKSNE_ANT	FAM_BARN_ANT	ANT_INNLOGGINGER_MOBILBANK	ANT_INNLOGGINGER_NETTBANK	LONNSOMHET_PER_MND
20190329	2096	7865	84	0	0	NULL	0	2	2	30	0	84
20190430	2096	9258	786	0	0	NULL	0	2	0	NULL	NULL	1041
20190430	2096	5411	59	0	0	NULL	1	NULL	NULL	33	1	-23
20190430	2096	5045	16	0	0	NULL	1	2	1	30	0	19
20190430	2096	13035	193	0	0	0	0	2	2	0	5	221
20190430	2096	16913	0	0	0	NULL	1	1	2	0	0	0
20190430	2096	11973	19	0	0	1	0	NULL	NULL	19	1	112
20190430	2096	7798	30	1223	0	NULL	0	NULL	NULL	65	0	1081
20190430	2096	11531	15	0	0	NULL	0	NULL	NULL	NULL	NULL	14
20190329	2096	20700	14	0	0	NULL	0	NULL	NULL	0	0	26
20190430	2096	9626	679	0	0	NULL	1	NULL	NULL	0	1	1120
20190329	2096	5534	36	0	0	NULL	0	NULL	NULL	0	0	515
20190329	2096	15672	NULL	NULL	0	NULL	0	NULL	NULL	NULL	NULL	11
20190329	2096	6845	477	2161	0	NULL	0	2	0	6	0	741
20190329	2096	735	88	0	0	NULL	0	2	1	3	0	64
20190329	2096	13501	462	0	0	NULL	0	NULL	NULL	NULL	NULL	801
20190430	2096	17984	182	3106	0	NULL	0	NULL	NULL	15	3	97
20190329	2096	15516	48	0	0	NULL	0	2	0	NULL	NULL	136
20190430	2096	9615	232	1279	0	NULL	1	NULL	NULL	44	1	324
20190329	2096	1304	0	565	0	2	0	2	0	84	0	1774
20190329	2096	7917	16	0	0	NULL	0	NULL	NULL	32	0	36
20190430	2096	7307	19	2074	0	NULL	1	NULL	NULL	13	0	233
20190430	2096	3720	297	0	0	NULL	0	2	0	0	1	382
20190430	2096	8740	25	2241	0	NULL	0	2	2	18	1	1727
20190329	2096	19543	390	0	0	NULL	0	2	0	0	1	581
20190430	2096	16169	0	1848	0	NULL	0	2	0	NULL	NULL	1943
20190329	2096	13525	193	1440	0	NULL	1	1	1	0	6	2149
20190430	2096	6907	4	0	0	NULL	0	2	2	NULL	NULL	4
20190430	2096	18489	2	0	0	1	1	2	0	31	1	18
